Sample,Time(S),CH1(V)
0,-5,-0.0197176
1,-4.999,-0.0162399
2,-4.998,-0.0145011
3,-4.997,-0.0127622
4,-4.996,-0.0110234
5,-4.995,-0.00754569
6,-4.994,-0.00754569
7,-4.993,-0.00406799
8,-4.992,-0.00232914
9,-4.991,-0.000590291
10,-4.99,0.00114856
11,-4.989,0.00288741
12,-4.988,0.00636511
13,-4.987,0.00810396
14,-4.986,0.00984281
15,-4.985,0.0115817
16,-4.984,0.0150594
17,-4.983,0.0150594
18,-4.982,0.0167982
19,-4.981,0.0202759
20,-4.98,0.0220148
21,-4.979,0.0254925
22,-4.978,0.0272313
23,-4.977,0.030709
24,-4.976,0.030709
25,-4.975,0.0341867
26,-4.974,0.0359256
27,-4.973,0.0394033
28,-4.972,0.0394033
29,-4.971,0.0446198
30,-4.97,0.0463587
31,-4.969,0.0498364
32,-4.968,0.0533141
33,-4.967,0.0533141
34,-4.966,0.0567918
35,-4.965,0.0602695
36,-4.964,0.0602695
37,-4.963,0.0637472
38,-4.962,0.065486
39,-4.961,0.0707026
40,-4.96,0.0707026
41,-4.959,0.0724414
42,-4.958,0.0741803
43,-4.957,0.0759191
44,-4.956,0.0759191
45,-4.955,0.0793968
46,-4.954,0.0811357
47,-4.953,0.0828745
48,-4.952,0.0846134
49,-4.951,0.0846134
50,-4.95,0.0863522
51,-4.949,0.0863522
52,-4.948,0.0898299
53,-4.947,0.0880911
54,-4.946,0.0933077
55,-4.945,0.0933077
56,-4.944,0.0898299
57,-4.943,0.0950465
58,-4.942,0.0950465
59,-4.941,0.0950465
60,-4.94,0.0898299
61,-4.939,0.0933077
62,-4.938,0.0933077
63,-4.937,0.0880911
64,-4.936,0.0880911
65,-4.935,0.0863522
66,-4.934,0.0846134
67,-4.933,0.0828745
68,-4.932,0.0828745
69,-4.931,0.0793968
70,-4.93,0.0759191
71,-4.929,0.0724414
72,-4.928,0.0724414
73,-4.927,0.065486
74,-4.926,0.0620083
75,-4.925,0.0620083
76,-4.924,0.0567918
77,-4.923,0.0533141
78,-4.922,0.0515752
79,-4.921,0.0480975
80,-4.92,0.0446198
81,-4.919,0.0411421
82,-4.918,0.0376644
83,-4.917,0.0376644
84,-4.916,0.0324479
85,-4.915,0.0324479
86,-4.914,0.0289702
87,-4.913,0.0272313
88,-4.912,0.0254925
89,-4.911,0.0220148
90,-4.91,0.0220148
91,-4.909,0.0202759
92,-4.908,0.0167982
93,-4.907,0.0150594
94,-4.906,0.0133205
95,-4.905,0.00984281
96,-4.904,0.00984281
97,-4.903,0.00810396
98,-4.902,0.00810396
99,-4.901,0.00462626
100,-4.9,0.00636511
101,-4.899,0.00288741
102,-4.898,0.00288741
103,-4.897,0.00288741
104,-4.896,0.00288741
105,-4.895,0.00288741
106,-4.894,-0.000590291
107,-4.893,0.00114856
108,-4.892,0.00114856
109,-4.891,0.00114856
110,-4.89,0.00114856
111,-4.889,0.00114856
112,-4.888,0.00114856
113,-4.887,-0.000590291
114,-4.886,0.00288741
115,-4.885,0.00114856
116,-4.884,0.00462626
117,-4.883,0.00462626
118,-4.882,0.00462626
119,-4.881,0.00810396
120,-4.88,0.00984281
121,-4.879,0.0115817
122,-4.878,0.0133205
123,-4.877,0.0150594
124,-4.876,0.0167982
125,-4.875,0.0202759
126,-4.874,0.0237536
127,-4.873,0.0237536
128,-4.872,0.0254925
129,-4.871,0.0272313
130,-4.87,0.0289702
131,-4.869,0.0324479
132,-4.868,0.0341867
133,-4.867,0.0359256
134,-4.866,0.0376644
135,-4.865,0.0376644
136,-4.864,0.0376644
137,-4.863,0.0411421
138,-4.862,0.0394033
139,-4.861,0.0446198
140,-4.86,0.0446198
141,-4.859,0.0446198
142,-4.858,0.0446198
143,-4.857,0.0446198
144,-4.856,0.0411421
145,-4.855,0.0411421
146,-4.854,0.0411421
147,-4.853,0.0376644
148,-4.852,0.0376644
149,-4.851,0.0376644
150,-4.85,0.0341867
151,-4.849,0.0341867
152,-4.848,0.0324479
153,-4.847,0.030709
154,-4.846,0.0289702
155,-4.845,0.0272313
156,-4.844,0.0272313
157,-4.843,0.0254925
158,-4.842,0.0237536
159,-4.841,0.0220148
160,-4.84,0.0167982
161,-4.839,0.0167982
162,-4.838,0.0150594
163,-4.837,0.0150594
164,-4.836,0.0115817
165,-4.835,0.0115817
166,-4.834,0.0115817
167,-4.833,0.00810396
168,-4.832,0.00810396
169,-4.831,0.00810396
170,-4.83,0.00636511
171,-4.829,0.00636511
172,-4.828,0.00636511
173,-4.827,0.00288741
174,-4.826,0.00462626
175,-4.825,0.00462626
176,-4.824,0.00462626
177,-4.823,0.00462626
178,-4.822,0.00288741
179,-4.821,0.00636511
180,-4.82,0.00462626
181,-4.819,0.00810396
182,-4.818,0.00810396
183,-4.817,0.00984281
184,-4.816,0.0115817
185,-4.815,0.0115817
186,-4.814,0.0150594
187,-4.813,0.0167982
188,-4.812,0.0202759
189,-4.811,0.0220148
190,-4.81,0.0220148
191,-4.809,0.0237536
192,-4.808,0.0254925
193,-4.807,0.0254925
194,-4.806,0.0289702
195,-4.805,0.0289702
196,-4.804,0.030709
197,-4.803,0.030709
198,-4.802,0.0324479
199,-4.801,0.0324479
200,-4.8,0.0324479
201,-4.799,0.0324479
202,-4.798,0.0324479
203,-4.797,0.0324479
204,-4.796,0.0324479
205,-4.795,0.0289702
206,-4.794,0.030709
207,-4.793,0.030709
208,-4.792,0.0272313
209,-4.791,0.0272313
210,-4.79,0.0272313
211,-4.789,0.0254925
212,-4.788,0.0254925
213,-4.787,0.0237536
214,-4.786,0.0202759
215,-4.785,0.0202759
216,-4.784,0.0202759
217,-4.783,0.0150594
218,-4.782,0.0150594
219,-4.781,0.0150594
220,-4.78,0.0115817
221,-4.779,0.0115817
222,-4.778,0.0115817
223,-4.777,0.00984281
224,-4.776,0.00984281
225,-4.775,0.00636511
226,-4.774,0.00636511
227,-4.773,0.00636511
228,-4.772,0.00462626
229,-4.771,0.00114856
230,-4.77,0.00114856
231,-4.769,0.00114856
232,-4.768,-0.000590291
233,-4.767,-0.00406799
234,-4.766,-0.00406799
235,-4.765,-0.00406799
236,-4.764,-0.00928454
237,-4.763,-0.00928454
238,-4.762,-0.00928454
239,-4.761,-0.0127622
240,-4.76,-0.0110234
241,-4.759,-0.0145011
242,-4.758,-0.0127622
243,-4.757,-0.0127622
244,-4.756,-0.0162399
245,-4.755,-0.0145011
246,-4.754,-0.0145011
247,-4.753,-0.0145011
248,-4.752,-0.0145011
249,-4.751,-0.0145011
250,-4.75,-0.0145011
251,-4.749,-0.0145011
252,-4.748,-0.0110234
253,-4.747,-0.0127622
254,-4.746,-0.00928454
255,-4.745,-0.00928454
256,-4.744,-0.00928454
257,-4.743,-0.00406799
258,-4.742,-0.00406799
259,-4.741,-0.00406799
260,-4.74,-0.000590291
261,-4.739,-0.000590291
262,-4.738,-0.000590291
263,-4.737,0.00288741
264,-4.736,0.00288741
265,-4.735,0.00462626
266,-4.734,0.00462626
267,-4.733,0.00462626
268,-4.732,0.00462626
269,-4.731,0.00810396
270,-4.73,0.00810396
271,-4.729,0.00636511
272,-4.728,0.00984281
273,-4.727,0.00984281
274,-4.726,0.00984281
275,-4.725,0.00984281
276,-4.724,0.00984281
277,-4.723,0.0115817
278,-4.722,0.0115817
279,-4.721,0.0115817
280,-4.72,0.0115817
281,-4.719,0.0115817
282,-4.718,0.0115817
283,-4.717,0.0115817
284,-4.716,0.0115817
285,-4.715,0.0115817
286,-4.714,0.0115817
287,-4.713,0.0115817
288,-4.712,0.00984281
289,-4.711,0.00984281
290,-4.71,0.00984281
291,-4.709,0.00984281
292,-4.708,0.00984281
293,-4.707,0.00810396
294,-4.706,0.00810396
295,-4.705,0.00810396
296,-4.704,0.00810396
297,-4.703,0.00636511
298,-4.702,0.00636511
299,-4.701,0.00636511
300,-4.7,0.00636511
301,-4.699,0.00636511
302,-4.698,0.00636511
303,-4.697,0.00636511
304,-4.696,0.00636511
305,-4.695,0.00636511
306,-4.694,0.00636511
307,-4.693,0.00636511
308,-4.692,0.00636511
309,-4.691,0.00636511
310,-4.69,0.00636511
311,-4.689,0.00636511
312,-4.688,0.00636511
313,-4.687,0.00636511
314,-4.686,0.00636511
315,-4.685,0.00636511
316,-4.684,0.00810396
317,-4.683,0.00636511
318,-4.682,0.00984281
319,-4.681,0.00984281
320,-4.68,0.00810396
321,-4.679,0.0115817
322,-4.678,0.0115817
323,-4.677,0.00984281
324,-4.676,0.0133205
325,-4.675,0.0133205
326,-4.674,0.0133205
327,-4.673,0.0133205
328,-4.672,0.0150594
329,-4.671,0.0133205
330,-4.67,0.0167982
331,-4.669,0.0167982
332,-4.668,0.0167982
333,-4.667,0.0202759
334,-4.666,0.0167982
335,-4.665,0.0220148
336,-4.664,0.0220148
337,-4.663,0.0220148
338,-4.662,0.0237536
339,-4.661,0.0220148
340,-4.66,0.0254925
341,-4.659,0.0254925
342,-4.658,0.0254925
343,-4.657,0.0254925
344,-4.656,0.0272313
345,-4.655,0.0272313
346,-4.654,0.0272313
347,-4.653,0.0272313
348,-4.652,0.0237536
349,-4.651,0.0254925
350,-4.65,0.0254925
351,-4.649,0.0237536
352,-4.648,0.0237536
353,-4.647,0.0220148
354,-4.646,0.0220148
355,-4.645,0.0167982
356,-4.644,0.0167982
357,-4.643,0.0167982
358,-4.642,0.0150594
359,-4.641,0.0133205
360,-4.64,0.0115817
361,-4.639,0.00810396
362,-4.638,0.00636511
363,-4.637,0.00462626
364,-4.636,0.00462626
