Sample,Time(S),CH1(V)
0,-5,0.0220148
1,-4.999,0.0220148
2,-4.998,0.0167982
3,-4.997,0.0202759
4,-4.996,0.0202759
5,-4.995,0.0167982
6,-4.994,0.0167982
7,-4.993,0.0167982
8,-4.992,0.0167982
9,-4.991,0.0167982
10,-4.99,0.0133205
11,-4.989,0.0150594
12,-4.988,0.0150594
13,-4.987,0.0150594
14,-4.986,0.0150594
15,-4.985,0.0150594
16,-4.984,0.0150594
17,-4.983,0.0150594
18,-4.982,0.0150594
19,-4.981,0.0150594
20,-4.98,0.0150594
21,-4.979,0.0150594
22,-4.978,0.0150594
23,-4.977,0.0150594
24,-4.976,0.0150594
25,-4.975,0.0150594
26,-4.974,0.0167982
27,-4.973,0.0167982
28,-4.972,0.0167982
29,-4.971,0.0167982
30,-4.97,0.0167982
31,-4.969,0.0167982
32,-4.968,0.0167982
33,-4.967,0.0150594
34,-4.966,0.0202759
35,-4.965,0.0202759
36,-4.964,0.0202759
37,-4.963,0.0202759
38,-4.962,0.0202759
39,-4.961,0.0167982
40,-4.96,0.0220148
41,-4.959,0.0220148
42,-4.958,0.0220148
43,-4.957,0.0237536
44,-4.956,0.0220148
45,-4.955,0.0254925
46,-4.954,0.0254925
47,-4.953,0.0272313
48,-4.952,0.0272313
49,-4.951,0.0289702
50,-4.95,0.0289702
51,-4.949,0.030709
52,-4.948,0.030709
53,-4.947,0.0324479
54,-4.946,0.030709
55,-4.945,0.0341867
56,-4.944,0.0341867
57,-4.943,0.0341867
58,-4.942,0.0341867
59,-4.941,0.0324479
60,-4.94,0.0359256
61,-4.939,0.0359256
62,-4.938,0.0324479
63,-4.937,0.0341867
64,-4.936,0.0341867
65,-4.935,0.0341867
66,-4.934,0.0341867
67,-4.933,0.030709
68,-4.932,0.0324479
69,-4.931,0.0324479
70,-4.93,0.030709
71,-4.929,0.030709
72,-4.928,0.030709
73,-4.927,0.030709
74,-4.926,0.0272313
75,-4.925,0.0289702
76,-4.924,0.0289702
77,-4.923,0.0254925
78,-4.922,0.0272313
79,-4.921,0.0254925
80,-4.92,0.0254925
81,-4.919,0.0237536
82,-4.918,0.0237536
83,-4.917,0.0202759
84,-4.916,0.0220148
85,-4.915,0.0167982
86,-4.914,0.0167982
87,-4.913,0.0167982
88,-4.912,0.0133205
89,-4.911,0.0150594
90,-4.91,0.0115817
91,-4.909,0.0133205
92,-4.908,0.00984281
93,-4.907,0.0115817
94,-4.906,0.00810396
95,-4.905,0.00984281
96,-4.904,0.00810396
97,-4.903,0.00810396
98,-4.902,0.00810396
99,-4.901,0.00462626
100,-4.9,0.00462626
101,-4.899,0.00462626
102,-4.898,0.00462626
103,-4.897,0.00462626
104,-4.896,0.00114856
105,-4.895,0.00288741
