Sample,Time(S),CH1(V)
0,-5,-0.000590291
1,-4.999,-0.000590291
2,-4.998,-0.000590291
3,-4.997,0.232416
4,-4.996,0.221983
5,-4.995,0.208072
6,-4.994,0.1959
7,-4.993,0.181989
8,-4.992,0.169817
9,-4.991,0.154167
10,-4.99,0.141995
11,-4.989,0.128085
12,-4.988,0.114174
13,-4.987,0.102002
14,-4.986,0.0880911
15,-4.985,0.077658
16,-4.984,0.0637472
17,-4.983,0.0533141
18,-4.982,0.0394033
19,-4.981,0.030709
20,-4.98,0.0150594
21,-4.979,0.00462626
22,-4.978,-0.00754569
23,-4.977,-0.0179788
24,-4.976,-0.0266731
25,-4.975,-0.038845
26,-4.974,-0.0475393
27,-4.973,-0.0579724
28,-4.972,-0.0649278
29,-4.971,-0.0753609
30,-4.97,-0.0840551
31,-4.969,-0.0892717
32,-4.968,-0.0962271
33,-4.967,-0.101444
34,-4.966,-0.10666
35,-4.965,-0.110138
36,-4.964,-0.113616
37,-4.963,-0.115354
38,-4.962,-0.115354
39,-4.961,-0.115354
40,-4.96,-0.111877
41,-4.959,-0.111877
42,-4.958,-0.10666
43,-4.957,-0.101444
44,-4.956,-0.0962271
45,-4.955,-0.0927494
46,-4.954,-0.0892717
47,-4.953,-0.085794
48,-4.952,-0.0840551
49,-4.951,-0.0788386
50,-4.95,-0.0823163
51,-4.949,-0.0823163
52,-4.948,-0.0823163
53,-4.947,-0.0823163
54,-4.946,-0.0823163
55,-4.945,-0.0875328
56,-4.944,-0.0875328
57,-4.943,-0.0910105
58,-4.942,-0.0927494
59,-4.941,-0.0962271
60,-4.94,-0.0979659
61,-4.939,-0.101444
62,-4.938,-0.103182
63,-4.937,-0.110138
64,-4.936,-0.110138
65,-4.935,-0.113616
66,-4.934,-0.120571
67,-4.933,-0.12231
68,-4.932,-0.127526
69,-4.931,-0.134482
70,-4.93,-0.141437
71,-4.929,-0.148393
72,-4.928,-0.157087
73,-4.927,-0.164042
74,-4.926,-0.170998
75,-4.925,-0.179692
76,-4.924,-0.188386
77,-4.923,-0.195342
78,-4.922,-0.204036
79,-4.921,-0.210991
80,-4.92,-0.217947
81,-4.919,-0.223163
82,-4.918,-0.231857
83,-4.917,-0.235335
84,-4.916,-0.240552
85,-4.915,-0.240552
86,-4.914,-0.244029
87,-4.913,-0.245768
88,-4.912,-0.249246
89,-4.911,-0.249246
90,-4.91,-0.249246
