Sample,Time(S),CH1(V)
0,-8e-06,0.000790078
1,-7.99e-06,0.000790078
2,-7.98e-06,-0.000589962
3,-7.97e-06,0.00217012
4,-7.96e-06,0.000790078
5,-7.95e-06,0.000790078
6,-7.94e-06,0.000790078
7,-7.93e-06,0.000790078
8,-7.92e-06,0.000790078
9,-7.91e-06,0.00217012
10,-7.9e-06,0.000790078
11,-7.89e-06,-0.000589962
12,-7.88e-06,-0.000589962
13,-7.87e-06,-0.000589962
14,-7.86e-06,-0.000589962
15,-7.85e-06,0.000790078
16,-7.84e-06,-0.00335004
17,-7.83e-06,0.000790078
18,-7.82e-06,0.000790078
19,-7.81e-06,-0.00197
20,-7.8e-06,-0.00197
21,-7.79e-06,-0.000589962
22,-7.78e-06,-0.000589962
23,-7.77e-06,-0.000589962
24,-7.76e-06,-0.00197
25,-7.75e-06,0.000790078
26,-7.74e-06,-0.00197
27,-7.73e-06,-0.000589962
28,-7.72e-06,-0.000589962
29,-7.71e-06,0.000790078
30,-7.7e-06,-0.00197
31,-7.69e-06,0.000790078
32,-7.68e-06,0.00217012
33,-7.67e-06,-0.000589962
34,-7.66e-06,0.000790078
35,-7.65e-06,-0.000589962
36,-7.64e-06,-0.000589962
37,-7.63e-06,0.000790078
38,-7.62e-06,-0.000589962
39,-7.61e-06,-0.000589962
40,-7.6e-06,0.00217012
41,-7.59e-06,0.000790078
42,-7.58e-06,0.00217012
43,-7.57e-06,-0.000589962
44,-7.56e-06,0.000790078
45,-7.55e-06,0.000790078
46,-7.54e-06,0.000790078
47,-7.53e-06,0.000790078
48,-7.52e-06,-0.000589962
49,-7.51e-06,0.000790078
50,-7.5e-06,-0.00197
51,-7.49e-06,0.00217012
52,-7.48e-06,-0.00197
53,-7.47e-06,-0.00197
54,-7.46e-06,-0.00197
55,-7.45e-06,0.000790078
56,-7.44e-06,0.000790078
57,-7.43e-06,0.00217012
58,-7.42e-06,-0.000589962
59,-7.41e-06,-0.000589962
60,-7.4e-06,-0.000589962
61,-7.39e-06,-0.000589962
62,-7.38e-06,-0.000589962
63,-7.37e-06,0.000790078
64,-7.36e-06,0.000790078
65,-7.35e-06,0.000790078
66,-7.34e-06,-0.000589962
67,-7.33e-06,-0.00197
68,-7.32e-06,-0.000589962
69,-7.31e-06,-0.000589962
70,-7.3e-06,-0.00197
71,-7.29e-06,-0.000589962
72,-7.28e-06,-0.000589962
